Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
kaya1330	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	declarative	4	15		indeterminate	NA
dura0000	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	6	8		indeterminate	NA
dura0000	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	8	8		indeterminate	NA
kaya1330	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	imperative	10	15		indeterminate	NA
siks1238	preliminary	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	conjunct	4	13		indeterminate	NA
siks1238	preliminary	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	independent	3	13		indeterminate	NA
chac1251	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	7	25		indeterminate	NA
iyoj1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	4	40		indeterminate	NA
kaya1330	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	3	21		indeterminate	NA
kiow1266	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	25	36		indeterminate	NA
mart1259	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	17	20		indeterminate	NA
siks1238	preliminary	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	conjunct	4	11		indeterminate	NA
siks1238	preliminary	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	independent	3	9		indeterminate	NA
chac1251	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	8	24		indeterminate	NA
iyoj1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	16	16		indeterminate	NA
kiow1266	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	25	30		indeterminate	NA
mart1259	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	18	18		indeterminate	NA
kaya1330	NA	verbal	constituency	Idiom	Indeterminate	NA	NA	NA	9	21		indeterminate	NA
kiow1266	noncomparable	verbal	constituency	Pausing	Indeterminate	NA	NA	NA	1	39		indeterminate	NA
kaya1330	noncomparable	verbal	constituency	Pausing	Indeterminate	Pause	NA	NA	11	16		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Asyndetic	Minimal	Asyndetic	7	13		indeterminate	NA
siks1238	preliminary	verbal	constituency	Recursion.based	Indeterminate	Asyndetic	Minimal	coordination.conjunct	4	11		indeterminate	NA
siks1238	preliminary	verbal	constituency	Recursion.based	Indeterminate	Asyndetic	Minimal	coordination.independent	3	9		indeterminate	NA
